Groups,Age
YNH,20
YNH,21
YNH,21
YNH,18
YNH,20
YNH,17
YNH,16
YNH,19
YNH,22
YNH,17
YNH,18
YNH,22
YNH,23
YNH,22
YNH,20
YNH,19
YNH,20
YNH,18
YNH,21
YNH,20
YNH,18
YNH,19
YNH,21
YNH,22
YNH,17
YNH,18
YNH,20
YNH,21
YNH,20
YNH,19
YNH,26
YNH,16
YNH,22
YNH,19
YNH,17
YNH,19
YNH,21
YNH,21
YNH,16
YNH,21
YNH,20
YNH,21
YNH,22
YNH,16
YNH,22
YNH,18
YNH,18
YNH,18
YNH,20
YNH,19
YNH,20
YNH,18
YNH,22
YNH,20
YNH,17
YNH,20
YNH,19
YNH,21
YNH,18
YNH,21
YNH,20
YNH,22
YNH,19
YNH,22
YNH,19
YNH,21
YNH,17
YNH,18
YNH,19
YNH,20
YNH,18
YNH,18
YNH,17
YNH,24
YNH,18
YNH,19
YNH,16
YNH,17
YNH,19
YNH,18
YNH,20
YNH,21
YNH,19
YNH,21
YNH,21
YNH,22
YNH,20
YNH,19
YNH,23
YNH,21
YNH,19
YNH,19
YNH,19
YNH,19
YNH,18
YNH,19
YNH,20
YNH,19
YNH,17
YNH,18
YHI,22
YHI,23
YHI,23
YHI,20
YHI,21
YHI,19
YHI,21
YHI,20
YHI,19
YHI,23
YHI,18
YHI,21
YHI,23
YHI,22
YHI,22
YHI,22
YHI,27
YHI,20
YHI,23
YHI,19
YHI,23
YHI,23
YHI,23
YHI,21
YHI,21
YHI,23
YHI,22
YHI,24
YHI,23
YHI,26
YHI,24
YHI,19
YHI,19
YHI,21
YHI,19
YHI,21
YHI,24
YHI,24
YHI,20
YHI,24
YHI,23
YHI,21
YHI,23
YHI,24
YHI,21
YHI,22
YHI,22
YHI,21
YHI,22
YHI,22
YHI,24
YHI,22
YHI,20
YHI,21
YHI,21
YHI,21
YHI,26
YHI,21
YHI,22
YHI,20
YHI,22
YHI,21
YHI,22
YHI,22
YHI,21
YHI,22
YHI,26
YHI,24
YHI,23
YHI,20
YHI,23
YHI,24
YHI,17
YHI,22
YHI,26
YHI,20
YHI,20
YHI,24
YHI,19
YHI,21
YHI,22
YHI,21
YHI,21
YHI,22
YHI,21
YHI,22
YHI,20
YHI,18
YHI,24
YHI,18
YHI,21
YHI,24
YHI,17
YHI,22
YHI,23
YHI,25
YHI,21
YHI,21
YHI,18
YHI,22
ONH,63
ONH,64
ONH,66
ONH,65
ONH,64
ONH,63
ONH,66
ONH,63
ONH,64
ONH,66
ONH,68
ONH,64
ONH,66
ONH,64
ONH,65
ONH,63
ONH,63
ONH,64
ONH,68
ONH,64
ONH,64
ONH,69
ONH,63
ONH,67
ONH,63
ONH,65
ONH,66
ONH,67
ONH,65
ONH,64
ONH,65
ONH,68
ONH,70
ONH,66
ONH,68
ONH,63
ONH,66
ONH,68
ONH,66
ONH,64
ONH,63
ONH,69
ONH,66
ONH,67
ONH,69
ONH,65
ONH,63
ONH,65
ONH,62
ONH,63
ONH,66
ONH,65
ONH,69
ONH,67
ONH,66
ONH,66
ONH,66
ONH,66
ONH,65
ONH,63
ONH,67
ONH,66
ONH,63
ONH,64
ONH,65
ONH,63
ONH,66
ONH,66
ONH,63
ONH,69
ONH,61
ONH,64
ONH,67
ONH,69
ONH,63
ONH,64
ONH,69
ONH,66
ONH,63
ONH,66
ONH,62
ONH,62
ONH,67
ONH,61
ONH,64
ONH,68
ONH,63
ONH,71
ONH,68
ONH,62
ONH,68
ONH,62
ONH,63
ONH,70
ONH,68
ONH,70
ONH,68
ONH,66
ONH,69
ONH,61
OHI,68
OHI,65
OHI,66
OHI,69
OHI,71
OHI,65
OHI,63
OHI,66
OHI,68
OHI,66
OHI,66
OHI,68
OHI,64
OHI,69
OHI,68
OHI,66
OHI,71
OHI,61
OHI,70
OHI,66
OHI,63
OHI,67
OHI,63
OHI,73
OHI,68
OHI,61
OHI,64
OHI,66
OHI,65
OHI,68
OHI,61
OHI,69
OHI,62
OHI,63
OHI,64
OHI,74
OHI,65
OHI,70
OHI,63
OHI,66
OHI,71
OHI,65
OHI,69
OHI,69
OHI,68
OHI,63
OHI,65
OHI,68
OHI,65
OHI,65
OHI,72
OHI,68
OHI,67
OHI,63
OHI,68
OHI,61
OHI,68
OHI,68
OHI,67
OHI,71
OHI,64
OHI,72
OHI,66
OHI,65
OHI,71
OHI,61
OHI,63
OHI,66
OHI,70
OHI,68
OHI,68
OHI,65
OHI,57
OHI,61
OHI,66
OHI,66
OHI,70
OHI,68
OHI,69
OHI,67
OHI,65
OHI,68
OHI,68
OHI,65
OHI,67
OHI,69
OHI,65
OHI,64
OHI,72
OHI,64
OHI,75
OHI,67
OHI,64
OHI,64
OHI,64
OHI,67
OHI,65
OHI,65
OHI,66
OHI,68
