Date,TikTokViews
2022-01-01,15000
2022-01-02,18000
2022-01-03,12000
2022-01-04,17000
2022-01-05,13000
2022-01-06,16000
2022-01-07,14000
2022-01-08,19000
2022-01-09,11000
2022-01-10,18000
2022-01-11,12000
2022-01-12,17000
2022-01-13,13000
2022-01-14,16000
2022-01-15,14000
2022-01-16,19000
2022-01-17,11000
2022-01-18,18000
2022-01-19,12000
2022-01-20,17000
2022-01-21,13000
2022-01-22,16000
2022-01-23,14000
2022-01-24,19000
2022-01-25,11000
2022-01-26,18000
2022-01-27,12000
2022-01-28,17000
2022-01-29,13000
2022-01-30,16000
2022-01-31,14000
2022-02-01,19000
2022-02-02,11000
2022-02-03,18000
2022-02-04,12000
2022-02-05,17000
2022-02-06,13000
2022-02-07,16000
2022-02-08,14000
2022-02-09,19000
2022-02-10,11000
2022-02-11,18000
2022-02-12,12000
2022-02-13,17000
2022-02-14,13000
2022-02-15,16000
2022-02-16,14000
2022-02-17,19000
2022-02-18,11000
2022-02-19,18000
2022-02-20,12000
2022-02-21,17000
2022-02-22,13000
2022-02-23,16000
2022-02-24,14000
2022-02-25,19000
2022-02-26,11000
2022-02-27,18000
2022-02-28,12000
2022-03-01,17000
